name,source,gender,wikidata,type
Geschwister-Scholl-Platz,wikidata,+,Q57820;Q76972,way
"Adelhauser Klosterplatz",wikidata,-,Q1774921,way
"Adelhauser Straße",wikidata,-,Q1774921,way
Agnesenstraße,wikidata,-,Q28976917,way
Ahornweg,wikidata,-,Q42292,way
Akazienweg,wikidata,-,Q5861969,way
Alemannensteige,wikidata,-,Q132990,way
Alemannenstraße,wikidata,-,Q132990,way
Allgäuweg,wikidata,-,Q2547022,way
Almendweg,wikidata,-,Q2259176,way
"Alte Breisacher Straße",wikidata,-,Q489911,way
"Am Anger",wikidata,-,Q57743,way
"Am Bischofskreuz",wikidata,-,Q112690811,way
"Am Dreisamgarten",wikidata,-,Q515480,way
"Am Dreschschopf",wikidata,-,Q1350230,way
"Am Floßgraben",wikidata,-,Q395976,way
"Am Flughafen",wikidata,-,Q1312244,way
"Am Hertweg",wikidata,-,Q1585152,way
"Am Lindenwäldle",wikidata,-,Q127849,way
"Am Lusbühl",wikidata,-,Q15833060;Q54050,way
"Am Rotschachen",wikidata,-,Q15844171,way
"Am Schlossberg",wikidata,-,Q277106,way
"Am Schwarzen Kloster",wikidata,-,Q15852266,way
Ameisenweg,wikidata,-,Q7386,way
Amselweg,wikidata,-,Q25234,way
Andlawstraße,wikidata,-,Q492179,way
Anemonenweg,wikidata,-,Q158286,way
Antoniterstraße,wikidata,-,Q606474,way
"Auf der Haid",wikidata,-,Q13572293,way
"Auf der Hardt",wikidata,-,Q1585152,way
"Auf der Zinnen",wikidata,-,Q23419,way
"Auggener Weg",wikidata,-,Q268734,way
Augustinergasse,wikidata,-,Q1776319,way
Augustinerplatz,wikidata,-,Q1776319,way
Auwaldhof,wikidata,-,Q62069032,way
Auwaldstraße,wikidata,-,Q62069032,way
Badenweilerstraße,wikidata,-,Q25430,way
"Bahlinger Straße",wikidata,-,Q518801,way
"Basler Landstraße",wikidata,-,Q78,way
"Basler Straße",wikidata,-,Q78,way
Bayernstraße,wikidata,-,Q174574,way
"Bei der Annakapelle",wikidata,-,Q558958,way
Belchenstraße,wikidata,-,Q515385,way
Belfortstraße,wikidata,-,Q472982,way
"Benzhauser Straße",wikidata,-,Q885057,way
Bergiselstraße,wikidata,-,Q683996,way
Bergleweg,wikidata,-,Q1870290,way
"Berliner Allee",wikidata,-,Q64,way
"Berner Straße",wikidata,-,Q2326511,way
Bernlappstraße,wikidata,-,Q267955,way
Besançonallee,wikidata,-,Q37776,way
Bienenweg,wikidata,-,Q7391,way
Birkenweg,wikidata,-,Q25243,way
Blankreutestraße,wikidata,-,Q3043226,way
Blauenstraße,wikidata,-,Q25630,way
Blumeneckstraße,wikidata,-,Q886170,way
Bodenlei,wikidata,-,Q65245690,way
Bohlstraße,wikidata,-,Q174574,way
"Bötzinger Straße",wikidata,-,Q518889,way
"Bozener Straße",wikidata,-,Q6526,way
"Breisacher Straße",wikidata,-,Q489911,way
"Breisgauer Straße",wikidata,-,Q690971,way
Brendweg,wikidata,-,Q880372,way
"Britzinger Straße",wikidata,-,Q86524355,way
Brombeerweg,wikidata,-,Q19842373,way
Brombergstraße,wikidata,-,Q31560393,way
Bruggastraße,wikidata,-,Q992293,way
Brühlstraße,wikidata,-,Q60982338,way
Buchenstraße,wikidata,-,Q25403,way
"Bugginger Straße",wikidata,-,Q518965,way
Bundschuhplatz,wikidata,-,Q786772,way
Bundschuhstraße,wikidata,-,Q786772,way
"Burgdorfer Weg",wikidata,-,Q68311,way
Burghaldering,wikidata,-,Q139420,way
"Burgunder Straße",wikidata,-,Q1767171,way
"Burkheimer Straße",wikidata,-,Q977317,way
Bussardweg,wikidata,-,Q235152,way
"Charlottenburger Straße",wikidata,-,Q162049,way
Chevilly-Larue-Weg,wikidata,-,Q258757,way
"Colmarer Straße",wikidata,-,Q130994,way
"Denzlinger Straße",wikidata,-,Q538523,way
Drachenweg,wikidata,-,Q7559,way
Drei-Ähren-Straße,wikidata,-,Q3539923,way
Dreisamstraße,wikidata,-,Q515480,way
"Ebneter Straße",wikidata,-,Q1279951,way
"Ebringer Weg",wikidata,-,Q527868,way
Egertenstraße,wikidata,-,Q1296750,way
"Eichstetter Straße",wikidata,-,Q606787,way
Einsiedelnweg,wikidata,-,Q693087,way
"Elsässer Straße",wikidata,-,Q1142,way
"Emmendinger Straße",wikidata,-,Q494521,way
"Endinger Straße",wikidata,-,Q168511,way
"Ensisheimer Straße",wikidata,-,Q455645,way
"Ettenheimer Straße",wikidata,-,Q506871,way
Eulenweg,wikidata,-,Q25222,way
Europaplatz,wikidata,-,Q458,relation+way
Falterweg,wikidata,-,Q28319,way
Fasanenstraße,wikidata,-,Q25432,way
Feldbergstraße,wikidata,-,Q316401,way
Finkenschlag,wikidata,-,Q160835,way
Flaunserstraße,wikidata,-,Q31546886,way
Fliederweg,wikidata,-,Q157449,way
"Forchheimer Straße",wikidata,-,Q550804,way
Frankenweg,wikidata,-,Q43482,way
Freiladestraße,wikidata,-,Q1799897,way
Friedhofstraße,wikidata,-,Q991436,way
Friesenstraße,wikidata,-,Q106416,way
Fuchsstraße,wikidata,-,Q8331,way
Fuhrmannsgasse,wikidata,-,Q1473046,way
Fürstenbergstraße,wikidata,-,Q681590,way
Furtwänglerstraße,wikidata,-,Q1322691,way
Gaylingstraße,wikidata,-,Q1496579,way
Gebenstraße,wikidata,-,Q1430497,way
Gerberau,wikidata,-,Q211578,way
Glacisweg,wikidata,-,Q948008,way
Glottertalstraße,wikidata,-,Q527597,way
Goldammerweg,wikidata,-,Q26205,way
"Gottenheimer Straße",wikidata,-,Q519267,way
Granadaallee,wikidata,-,Q8810,way
Grillenweg,wikidata,-,Q609392,way
Guildfordallee,wikidata,-,Q213465,way
"Gundelfinger Straße",wikidata,-,Q535222,way
"Gündlinger Straße",wikidata,-,Q1560207,way
Günterstalstraße,wikidata,-,Q1561278,way
Güterhallenstraße,wikidata,-,Q1680993,way
Habichtweg,wikidata,-,Q25353,way
Habsburgerstraße,wikidata,-,Q65968,way
Hagenmattenstraße,wikidata,-,Q1568229,way
Häherweg,wikidata,-,Q25565,way
Hasenweg,wikidata,-,Q63941258,way
"Haslacher Straße",wikidata,-,Q880415,way
"Hausener Weg",wikidata,-,Q62008,way
